Molecule,Lit Enthalpy (kJ/mol),Lit Enthalpy (Eh)
Methane,-74.8936,-0.02852546182
Ethane,-84.01472,-0.03199951247
Propane,-104.6,-0.03984003047
Butane,-125.52,-0.04780803656
Pentane,-146.90024,-0.05595133879
Hexane,-167.10896,-0.06364843268
Heptane,-187.69424,-0.07148895068
Octane,-208.61424,-0.07945695677
Nonane,-228.19536,-0.08691501047
Aspirin,31.01,0.0118110836
Azobenzene,22.53,0.008581222624
Caffeine,-340.6,-0.1297276709
Ethanol,-276,-0.1051228337
Pyrrole,108.3656,0.04127427157
Acetaminophen,27.6,0.01051228337
Diclofenac,25,0.00952199581
Ibuprofen,18.7,0.007122452866
Hydrocortisone,33.9,0.01291182632
Dexamethasone,42.04,0.01601218815
Prednisone,37.8320754,0.01440947454